ID,Server,Channel,Content Length,Content
558827306412671016,MINECRAFT,minecraft,2,@p
558827412243349524,MINECRAFT,minecraft,19,/gamemode {mode} @p
558827459609493551,MINECRAFT,minecraft,22,<@!243940705616134145>
558827577133760542,MINECRAFT,minecraft,4,np 👍
558827620763041802,MINECRAFT,minecraft,5,oh no
558827646180524057,MINECRAFT,minecraft,12,it's just @p
558828262730760192,MINECRAFT,minecraft,4,woah
558828290882666507,MINECRAFT,minecraft,20,is that singleplayer
558828385111900170,MINECRAFT,minecraft,30,the whole chunk is gone tho xD
558828737299218432,MINECRAFT,minecraft,3,loL
558828876004982786,MINECRAFT,minecraft,9,oh boy...
558828901481316352,MINECRAFT,minecraft,1,^
558828980317192203,MINECRAFT,minecraft,43,<@525139531813355521>  do you have a server
558829055324192798,MINECRAFT,minecraft,44,i thought you wanted to make a voting plugin
558829081404243978,MINECRAFT,minecraft,25,download a voting plugin*
558829253475696666,MINECRAFT,minecraft,56,<@!269895895246569473> is that my question 5 mins ago xD
558829398392963090,MINECRAFT,minecraft,14,no that's mean
558829733043765278,MINECRAFT,minecraft,4,jeez
558829760814252033,MINECRAFT,minecraft,49,calm down this is just a minecraft discord server
558830676405911567,MINECRAFT,minecraft,48,guys what are your thoughts on the snow villages
558831255194435595,MINECRAFT,minecraft,38,too much effort <@!269895895246569473>
558831283158122506,MINECRAFT,minecraft,9,i love it
558831504239755266,MINECRAFT,minecraft,4,huh?
