ID,Channel,Content Length,Content
558457696773472277,homework,38,Alright_ anyone have any idea on this?
558817880263622697,serious-general,65,theres the chance since she is trying to be around you (it seems)
558818334725111816,debates,68,you guys needs tighter gun control not a banning/restriction of guns
558818356954791936,debates,29,make it harder to obtain guns
558818451737542667,debates,28,<@66164051062816768> why not
558818787667738656,debates,163,the only solution to this is to ban every single gun and stop production_ but that isnt happening so the next best solution is to restrict who and how to get a gun
558818872854052864,debates,21,it was 6 million jews
558818887811072021,debates,20,not inc other people
558818926880882688,debates,25,<@66164051062816768> what
558819007378227200,debates,2,no
558819061748989963,debates,16,because it works
558819088709976084,debates,40,it worked (until recently) in my country
558819129482543137,debates,2,NZ
558819193768902656,debates,28,<@!439926511517040680> ok???
558819245895450627,debates,21,im talking about guns
558819345011048479,debates,42,chaos what is ludicrous about our gun laws
558819402665951233,debates,65,they were tight af already and now guns are pretyt much just gone
558819480525078539,debates,32,there were loopholes in the laws
558819532408487956,debates,74,that allowed you to pruchase parts seperately on a lower class gun lisence
558819565975502860,debates,46,he modified a legal gun to make an illegal gun
558820056319000577,debates,34,<@!110898859298787328> please stop
558820254382293000,debates,80,the most optimal solution is to remove guns from society but thats not happening
558820638882660357,debates,115,tbh we're doing just that. the only legal guns after this will be bolt action rifles (for hunting/farming purposes)
558821256812822553,debates,59,<@66164051062816768> its actually more correct than it isnt
558821643531845642,debates,41,background checks work (most of the time)
558821727044370433,debates,15,yes they do lol
558821744580755484,debates,2,ok
558821813581250588,debates,38,your constitution is outdated and shit
558821908515389485,debates,33,it was written over 200 years ago
558821928547123210,debates,20,the main parts of it
558822078472650754,debates,26,there are also parts of it
558822275340828702,debates,23,actually lemme rephrase
558822332949463046,debates,68,your *entire* constitution needs to be rewritten to modern standards
558822359650402315,debates,15,not just edited
558822475119460353,debates,32,ok now thats just a bad argument
558822911008571411,debates,44,<@347414313495166986> thats not how it works
558823058887147578,debates,62,prostitution is bad porn is a significantly better alternative
558823112171585572,debates,25,under most circumstances*
