ID,Channel,Content Length,Content
558758917799149608,general,63,Imagine being bad at anime songs <:LULLLLLL:536839167078826004>
558760595357171722,general,41,I have no problem I just think it's funny
558794207502794763,general,3,Yea
558794223319646209,general,22,It also runs like aids
558794359550640138,general,27,There's a social media side
558794375715618837,general,16,What do you mean
558794530883633170,general,20,The community pages?
558794568875638784,general,44,I look at them for guides and shit sometimes
558794911877562388,general,47,<@190955578443563008> who the fuck is this weeb
558794971956641792,general,29,<a:peptus:554187056612638731>
558795019390156831,general,26,Was he screenshotting porn
558795103037292561,general,2,Oh
558795436429803540,general,3,Kek
558795466347773983,general,24,I mean that's prime mest
558795572530774036,general,4,Lmao
558795717112758292,general,45,<@190955578443563008> I did that at one point
558795732136493059,general,30,<:LULLLLLL:536839167078826004>
558795796020199425,general,40,I also listed all the tf2 unusuals I haf
558795839049433128,general,27,Which was a lot at the time
558795854635466762,general,6,Like 8
558795955093110784,general,30,Someone who you rivaled on tfw
558795976958148608,general,9,Obviously
558796006410682388,general,2,Er
558796029592338433,general,26,What's the word dominated?
558796045400932363,general,21,I forget the mechanic
558796130872197162,general,63,You get salty and check out their shit to see how their so good
558796142050148353,general,30,<:LULLLLLL:536839167078826004>
558797285119623189,general,42,<:GWmythicalHyperREEEE:373159924487684106>
558798722687959070,general,35,<@160661535511937026> cute loli pfp
558798753172291584,general,2,Np
558798779843739658,general,29,Even if it wasn't intentional
558993027952279572,general,33,>azur lane has great artNLSalty...
