ID,Content Length,Content
558788825308987392,5,hello
558788931538386954,56,https://tenor.com/view/sprite-caffeine-free-gif-12865938
558801370828767282,35,did someone mention me or everyone?
558801514454319104,17,did someone ping?
558801556762263553,21,either me or everyone
558801789114253323,3,thx
558801958346031114,5,hello
558802000188407823,31,<@558300886204416014> how are u
558802182254755871,40,i wish they still support legacy console
558802257374740481,36,i mean_ a lot of people still use it
558802298294501376,2,ok
558802324110180362,7,i mean_
558802406763135003,66,im dissapointed that mojang isnt supporting legacy console anymore
558802637986856960,31,it isnt being supported anymore
558802664905768979,15,no more updates
558802706157010969,17,and i use console
558802888240005130,37,if anyone needs me_ DM me or mention.
558802918694715416,26,im gonna work on my server
558802947790864384,3,brb
558803178011885578,51,also name any animal or mob "Grumm" or "DinnerBone"
558803213969522688,18,you wont regret it
558803328750977025,18,it looks hilarious
558805779679936548,7,im back
558805864132247557,3,thx
558805896491434004,9,so is urs
558806177677312000,3,yes
558806221180895252,31,i just got a weapon smith today
558806657707147275,73,<:mcchicken:302439338292281345> + <:ocelot:425394510470840322> = 😵 = me 😭
558806832618012685,2,me
558806861755842581,3,gtg
558807004542402585,61,if anyone needs me_ pls DM me. ill be back in about two hours
558807147983405056,9,cya later
558807237817139204,3,bye
558853919556763648,5,hello
558853998115815424,3,oof
558854041560678420,9,|| rip ||
558854202537934848,8,guess so
558854433031847938,16,how is everyone?
558854724598890556,69,just go afk and put a weight on any letter and enter at the same time
558854786284519425,45,and just go to a channel that gets no traffic
558854889455747079,10,mc is cool
558854916207017985,5,hello
558854950785122305,16,I HATE SLOWMODE!
558854985526280193,19,i have ps3 sadly...
558855019592679454,5,sorry
558855089834557449,30,once i get it_ ill join a game
558855132306079774,27,but that will be in a while
558855228586196993,3,oof
558855320714084352,43,i will play_ but i dont have the game on PC
558855359805128720,30,but when I do_ ill join a game
558855437295026176,1,?
558855476448722959,5,2b2t?
558855640005476352,35,wait how do we get different roles?
558855745492353034,6,ah thx
558855943421558787,20,i cant use it anyway
558855967283085352,3,lol
558855992310366210,2,no
558856019090866185,14,legacy console
558856042268590090,5,sadly
558856102658310174,21,i have legacy console
558856261245075457,28,if anyone need me_ DM me ok?
