ID,Channel,Content Length,Content
558447952415293440,coding,20,i have an answer 4 u
558448016898654220,coding,33,would you like to be enlightened?
558448188407808002,coding,33,would you like to be enlightened?
558448191591415843,coding,33,would you like to be enlightened?
558448193797357589,coding,33,would you like to be enlightened?
558448195873538078,coding,33,would you like to be enlightened?
558448425385852928,coding,32,https://i.imgur.com/wVU7M7N.gifv
558448445439082506,coding,17,enlightenment ^^^
558448822452486144,coding,11,get in bath
558448844300353556,coding,16,turn it real hot
558448908875989003,coding,26,stay in bath until not hot
558448931223109653,coding,18,repeat until happy
558449010399248395,coding,6,i mean
558449029814550551,coding,11,not BOILING
558449042086952972,coding,8,but like
558449048994971648,coding,4,warm
558449201676288012,coding,24,cold bath makes me tense
558449432773918731,coding,20,guidance people nice
558449547051794443,coding,4,well
558449554832228372,coding,6,i mean
558449575090847774,coding,22,the bsge ones are nice
558449665826357258,coding,40,replace jello with crumb cake and *sure*
558449779982598157,coding,24,or homemade ginger snaps
558449797934219269,coding,16,those r tatstyyy
558449863713488906,coding,9,of course
558449878124986379,coding,11,arsha logic
558449956470390784,coding,7,anyways
558449963554570240,coding,5,aoyan
558449984174030869,coding,22,get a nice early sleep
558449998539522048,coding,7,tonight
558450052603969536,coding,3,why
558450067086770206,coding,7,i do it
558450175631163652,coding,46,according to my 100% not cuckoo health teacher
558450219516166164,coding,29,"you sleep when you're tired"
558450309823987713,coding,37,she sed "you sleep when you're tired"
558450383077376010,coding,31,UR SUPPOSED TO SLEEP AT LEAST 8
558450400697516034,coding,9,i sleep 8
558450427470020608,coding,4,then
558450430888116225,coding,2,ur
558450454389063722,coding,5,gonna
558450462685134851,coding,10,dieeeeeeee
558450483614974003,coding,15,i function fine
558450709951938564,coding,23,image of me functioning
558450769981079562,coding,26,in FULL TRANSCENDENCE MODE
558450914009022505,coding,3,fud
558451087837888513,coding,80,wait so <@!366986062599290883> what bits of the program for replit do u wanna do
558451189688041498,coding,41,imma workin on the underlying game engine
558451282969362443,coding,11,theres like
558451296693256232,coding,14,game mechanics
558451305413214241,coding,9,and stuff
558451317131968542,coding,10,subclasses
558451353265897472,coding,16,whatcha gonna do
558451379077644298,coding,24,amalia wants to betatest
558451398874759189,coding,17,and advise on art
558757219362144267,main,2,ok
558758687012028416,main,5,noone
558764918858317847,main,35,https://repl.it/live/5Xo2nKEMSk83dQ
558806110396481546,main,71,<@!199605025914224641> y does jetbrains ide have a discord integration?
558806144500629505,main,1,o
558806155275796540,main,4,kool
558806486470492184,main,3,umm
558806502165446657,main,9,okeydokey
558993419100487680,main,16,i need ur pearls
558993441384693791,main,16,but i got powder
558993611828625408,announcements,174,@everyone I'm thinking of doing a server meeting over spring break. The date isnt set yet_ so put down when (and if) you can come here: https://goo.gl/forms/gXQXvPLrqai0fYpS2
558993679050604575,announcements,60,I will try and find the best date for everyone based on this
559005752241422404,announcements,56,@everyone u all have until the start of break to do this
559032877732462612,main,2,ok
560980393260613632,main,61,it only has effic. 4 and silk_ so dont break it. get unbreaky
