ID,Server,Channel,Content Length,Content
558786490382155806,Official Fortnite,lfg-creative,44,anyone wanna do a 3v3? i got a squad with me
558786653775462400,Official Fortnite,fortnite-general,41,Anyone wanna do a 3v3 with my squad? @ me
558786725225168906,Official Fortnite,creative-discussion,26,Anyone wanna 3v3 my squad?
558786793676210183,Official Fortnite,lfg-creative,50,Anyone wanna 3v3 my squad? add me TtvRichTheRocker
558786812823207967,Official Fortnite,fortnite-general,1,k
558786884235427840,Official Fortnite,creative-discussion,4,@ me
558789124698406922,Official Fortnite,lfg-creative,32,LOOKING FOR ANOTHER 3 MAN TO 3V3
558790793863626762,Official Fortnite,lfg-creative,31,Got a squad looking for 3v3! NA
558792415314706463,Official Fortnite,lfg-creative,9,3v3 dm me
558792454359351297,Official Fortnite,creative-discussion,9,3v3 dn ne
558794479234973725,Official Fortnite,lfg-creative,11,3v3 nae msg
