ID,Channel,Content Length,Content
559010726895943692,lfg-battleroyale-mobile,33,Duos? Dm me <@311490685016604673>
559031574360752130,lfg-battleroyale-mobile,21,<@527986153840705544>
559031993376178187,lfg-battleroyale-mobile,21,Someone help me learn
559032264013381632,lfg-battleroyale-mobile,20,I’m new to fn mobile
559032324054974504,lfg-battleroyale-mobile,53,And need someone good to teach me how to build better
559032373573058600,lfg-battleroyale-mobile,22,<@!516808419496296448>
559032427415076864,lfg-battleroyale-mobile,14,Phahahahahahah
559032901921013760,lfg-battleroyale-mobile,27,Meeee <@544202764235046952>
559038269283893258,lfg-battleroyale-mobile,21,<@556385728431521803>
559038830787821579,lfg-battleroyale-mobile,21,<@487610491594604560>
559051176348221450,lfg-battleroyale-mobile,22,<@!418792666617217049>
559090405325406210,lfg-battleroyale-mobile,26,<@504806289956667422> 1v1?
559090521914605568,lfg-battleroyale-mobile,27,<@!359494285961330698> 1v1?
559097963318607882,lfg-battleroyale-mobile,17,Yo who wanna play
559098185033973770,lfg-battleroyale-mobile,21,<@374663260114518026>
559099562971758606,lfg-battleroyale-mobile,21,<@477023309175717899>
