ID,Content Length,Content
559053874296520706,6,AHHHHG
559053890960621578,3,WTF
559053910875176970,2,NO
559053926754942996,8,THE BAIT
559062065759780876,46,Eugeo being chopped wasn't as bad as I thought
559062118712868865,30,They kinda just brushed it off
559062148056088587,29,It'll hurt worse next episode
559062242612477953,44,The anime only people think he's coming back
559062254100807691,10,definitely
559062305539751948,51,Like the ice froze his internal organs or something
559062348074319873,15,THEY DON'T KNOW
559062371079815319,4,hnng
559062381628751882,13,one more week
559062391279714305,8,one more
