ID,Channel,Content Length,Content
558993838052737066,18plus,20,doppek just went ham
558996333793378305,18plus,51,<@553324309071003668>  everything is lewded at this
558996346091208705,18plus,5,point
558997217558528025,18plus,26,<:HEhe:230788757106851840>
559001580674875403,lounge,17,i got scholarship
559001632382255108,lounge,10,so why not
559002301428269109,18plus,17,should i watch it
559002506659889162,18plus,4,nope
559002527887130634,18plus,17,get me bleach pls
559002764181766154,18plus,21,arent they herbivores
559002943345393684,18plus,121,https://cdn.discordapp.com/attachments/193114341464080386/558918863731949578/b2a0756edd6cf108f85a42c342bb36988b50012b.png
559003160736432148,18plus,113,https://cdn.discordapp.com/attachments/193114341464080386/558880358226198538/e8502e6b441e846e1a73c022337f91ec.png
559004675681288212,18plus,16,Guys ass or tits
559004709017354260,18plus,15,Which is better
559037262025982017,18plus,32,u can tell from our conversation
559038323893469196,18plus,9,indonesia
559038387110019082,18plus,37,fucking mangafox got blocked here too
559038411583782912,18plus,15,but not twitter
559038562008432682,18plus,25,ik but its painfully slow
559038670280196116,18plus,50,imma climaxing fuckin 1 min loading makes me limpo
559038690182299678,18plus,4,limp
559038809174442052,18plus,30,its just frustrating sometimes
559039181985415170,18plus,22,I'm using Nord premium
559039228932259841,18plus,27,I was using opera last timr
559039261354229792,18plus,19,It was more painful
559039299618734122,18plus,30,<:angrycry:508318095467741184>
559039815048364073,18plus,52,Someone knows my pain<:pepehands:495739984805101570>
559039833121488898,18plus,3,Cya
559044585486155811,lounge,18,rate it from 1- 10
559044617824108546,lounge,6,i dont
559044729900105737,lounge,14,pretty high up
559044751417147413,lounge,16,whats a 10 for u
559045020750053393,lounge,33,well deathnote i kinda dropped it
559045106024448048,lounge,24,but full metal was great
559045412003250206,lounge,33,<:whatdyousay:254785307671658496>
559045585051844638,lounge,60,i actually used to enjoy it until it went beyond the horizon
559045889570766858,lounge,16,noice thats hawt
559045966330855444,lounge,32,<:thinknoose:466251398128861185>
559046063823257600,lounge,29,im a boruto fan mwahahahahaha
559046076846440518,lounge,6,end me
559046092268896256,lounge,11,i wanna die
559046199081172992,lounge,31,youre talkin shit now my friend
559046281289269267,lounge,28,<:coolio:231153471330451457>
559046355037978685,manga,12,let me check
559050536188379211,lounge,12,(╯°□°）╯︵ ┻━┻
559053143808147466,18plus,39,<:pepega:554269347032596490> thats hawt
559053329246978059,18plus,32,<:kappapride:452214093147930624>
559057352536358923,lounge,678,It's a virus u twat<:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392> <:wutface:230762039025467392>
559057366688202752,lounge,2,Jk
559067437081952296,18plus,11,its 18 plus
559069203475333123,18plus,44,<:NEXING:394649483138433026> reeeeeeeeeeeeee
559070086653280286,18plus,22,its me in the  the pic
559070122715906057,18plus,16,very naisu right
559070339666280469,18plus,28,doppek anymore of that sauce
559070528829259797,18plus,95,https://66.media.tumblr.com/1a6f2b9bd8043dfefb8b26296b5a6345/tumblr_o1fcl7KNh81u3yq93o1_500.gif
559070544494854165,18plus,17,need more of this
