ID,Server,Channel,Content Length,Content
558468570472906752,r/teenagers,general,23,lol telco blocked 4chan
558468620213026816,r/teenagers,general,14,australian isp
558468690925060122,r/teenagers,general,14,we don’t exist
558468762370572288,r/teenagers,general,6,what’s
558468847041249281,r/teenagers,general,40,men are superior to women rise up gamers
558469022690050060,r/teenagers,general,18,r/accidentalcomedy
558469558902718465,r/teenagers,general,38,just posted it to accidentalcomedy lol
558469586064900129,r/teenagers,general,7,oh yeah
558469856316620810,r/teenagers,general,9,is this u
558470479451783179,r/teenagers,general,3,hmm
558471270065242113,r/teenagers,general,10,niggasex69
558471534189215755,r/teenagers,general,14,super talented
558471695686434847,r/teenagers,general,26,369 is my favourite number
558471925941403664,r/teenagers,general,27,xxtentation died 😭😭😭 #llj 🕊
558472089967919106,r/teenagers,general,10,gibbiii!!!
558472363591598100,r/teenagers,general,9,#LLJ 😭😭😭😭
558472685944963093,r/teenagers,general,60,my fav x song is lucid dreams from his album harvard dropout
558472869349163018,r/teenagers,general,55,the beat is literally just i’m closing my eyes by potsu
558472886646734878,r/teenagers,general,9,SPOTLIGHT
558472899397419018,r/teenagers,general,9,MOONLIGHT
558473309373595658,r/teenagers,general,79,xxx music is eitherNL**BASS**NLor talking about how much he wants to kill himself
558473399962435584,r/teenagers,general,5,nigga
558473602903703572,r/teenagers,general,37,pop those balloons like a silly nigga
558473871716646914,r/teenagers,general,17,taste the rainbow
558473908194377733,r/teenagers,general,27,middle child is a good song
558473931699388429,r/teenagers,general,33,never listened to his other stuff
