ID,Server,Channel,Content Length,Content
558791528554692609,MINECRAFT,off-topic,4,Heyo
558791591850934307,MINECRAFT,bot-commands,2,$q
558791627091476511,MINECRAFT,bot-commands,14,$play pianokat
558791684540858403,MINECRAFT,bot-commands,16,I hope so ahahha
558791748109991986,MINECRAFT,bot-commands,8,Sorry_ 😦
558791816758034465,MINECRAFT,bot-commands,26,Oh_ didn't know that sorry
558791845161730058,MINECRAFT,bot-commands,32,Oh i read it up the top just now
558791992742641674,MINECRAFT,minecraft,53,I thought there was like windows 10 edition or sumfin
558792133218402315,MINECRAFT,minecraft,3,Oh?
558792429277413403,MINECRAFT,minecraft,8,Java ftw
558792505156698123,MINECRAFT,minecraft,28,I got it like last september
558792573251223565,MINECRAFT,minecraft,46,<@!382208960918323200>  do u know when it was?
558792639940395012,MINECRAFT,minecraft,40,also i have ps3 edition from 2013 hahaha
558792732030664714,MINECRAFT,minecraft,29,OwO <@345293769408512000>  Ok
558792788313899009,MINECRAFT,minecraft,33,Can i give someone the code then?
558792927954862107,MINECRAFT,minecraft,48,Is that allowed_ am i allowed to give the code??
558793030052610050,MINECRAFT,minecraft,9,Awesome 😄
558793068157861910,MINECRAFT,minecraft,35,i wasn't planning to sell it hahaha
558793639132921876,MINECRAFT,minecraft,37,I gave it to one of my best friends 😄
558793756820635649,MINECRAFT,minecraft,35,What if they added like frogs to mc
558794167073898505,MINECRAFT,minecraft,41,<@194271892272709632>  video that falling
558794242491809803,MINECRAFT,minecraft,17,It;s so satsfying
558794417004216331,MINECRAFT,minecraft,5,Awh 😦
558794659577593856,MINECRAFT,minecraft,118,IKR <@211684241476419595>  would not fit at all_ mc is about exploring and building and mining not fighter jets hahaha
558795249556914176,MINECRAFT,minecraft,4,Yes?
558795312265822238,MINECRAFT,minecraft,17,vivek wdym hahaha
558797473112653865,MINECRAFT,minecraft,56,<@269864932164632576>  May i say_ u have an AWESOME name
558797507312877583,MINECRAFT,minecraft,5,/date
558797782560014337,MINECRAFT,minecraft,36,Why did skeeter get banned or sumfin
558797975556456468,MINECRAFT,minecraft,12,Ooo_ naughty
558799094949216266,MINECRAFT,minecraft,55,Is there ever gonna be a villy that takes cobblestone??
558799194945617941,MINECRAFT,minecraft,28,Oh ty <@!159985870458322944>
558800278070231050,MINECRAFT,minecraft,7,Ahahaha
558800319618875392,MINECRAFT,minecraft,26,so true tho_ it liked died
558802840840306708,MINECRAFT,minecraft,25,how to summon jeb sheep??
558803113683714049,MINECRAFT,minecraft,14,Oh ok ty all 😄
558803141366251550,MINECRAFT,minecraft,7,So JEB_
558803166334812189,MINECRAFT,minecraft,4,Ok 😄
558803305820717057,MINECRAFT,minecraft,28,I don't have a mods folder 😦
558803584221970432,MINECRAFT,minecraft,22,The jeb_ didn't work 😦
558803651397943307,MINECRAFT,minecraft,33,U know that rainbow sheep thingo?
558803802262601730,MINECRAFT,minecraft,12,Windows+runs
558804154919682049,MINECRAFT,minecraft,18,Hurmm where is it?
558804233047113758,MINECRAFT,minecraft,5,Noice
558804755342688256,MINECRAFT,minecraft,37,<@347353735376404481>  i reckon it is
558805430969827338,MINECRAFT,minecraft,31,<@481541471682691075>  Stop plz
558806005660647424,MINECRAFT,minecraft,16,For a job hahaha
558806078989664266,MINECRAFT,minecraft,40,<@481541471682691075>  Plz stop the spam
558806220606144534,MINECRAFT,minecraft,22,<@&451236749008437248>
558806296997134351,MINECRAFT,minecraft,43,<@481541471682691075>  don't start it again
558806378227957780,MINECRAFT,minecraft,22,<@!144987921601134592>
558806457001181185,MINECRAFT,minecraft,30,the guy said it like 100 times
558806544183984158,MINECRAFT,minecraft,6,HAHAHA
558806786841509898,MINECRAFT,minecraft,18,Mods didn't appear
558806836321452052,MINECRAFT,minecraft,27,and we both had same idea 😄
558807488254967828,MINECRAFT,multiplayer,27,<@389521328308486144>  Sure
558808766514987008,MINECRAFT,multiplayer,67,hahaha_ someones server i could not say idiot bc i got banned hahah
558812921237471242,MINECRAFT,multiplayer,25,Wtf <@543507264128942095>
558814370218377256,MINECRAFT,minecraft,22,Who speaks australian?
558814518692544522,MINECRAFT,minecraft,27,g'day mate how are we all??
558814603732189195,MINECRAFT,minecraft,9,ateranos?
558814678470361108,MINECRAFT,minecraft,15,what's atearnos
558814715829288980,MINECRAFT,minecraft,36,<@194271892272709632>  how u do dis?
558814824344322057,MINECRAFT,minecraft,41,<@194271892272709632> He's a magician????
558833470185537536,MINECRAFT,minecraft,13,hello i'm old
558846202104250372,MINECRAFT,minecraft,21,<#305580569238962186>
558846841018384397,MINECRAFT,minecraft,2,!R
558871266451259393,MINECRAFT,bot-commands,5,!rank
