ID,Server,Channel,Content Length,Content
558805882390052884,r/teenagers,movie-night,5,Saved
558805952040796170,r/teenagers,movie-night,5,69420
558806905548439552,r/teenagers,movie-night,11,I have aids
558806987710791690,r/teenagers,movie-night,0,
558807844665688085,r/teenagers,movie-night,0,
558807875988881439,r/teenagers,movie-night,53,sooo when would the next movie be on? scheduled time?
558808090611548162,r/teenagers,movie-night,22,what shortcut button??
558810303668682752,r/teenagers,general,21,my mic isnt working:(
558811170795159592,r/teenagers,general,21,my mic isnt working 😦
558812105717841924,r/teenagers,movie-night,34,this lag is worse than his stutter
558812174357757952,r/teenagers,movie-night,8,same tbh
558812297905176607,r/teenagers,movie-night,21,ive seen it tho so...
558812365718683649,r/teenagers,movie-night,32,its not hulu its the actual site
558812492294258729,r/teenagers,movie-night,9,ill tyru=
558814103674683394,r/teenagers,movie-night,25,can you guys here me bruh
558814729456582656,r/teenagers,movie-night,1,😦
558814809433440266,r/teenagers,movie-night,12,meanie beani
558815038048043020,r/teenagers,movie-night,23,put it in the microwave
558823742604705797,r/teenagers,movie-night,19,Are you on ur phone
558830839509680139,r/teenagers,movie-night,3,Yes
558832850607276064,r/teenagers,movie-night,42,The intermission will prob just be shorter
558832982488514562,r/teenagers,movie-night,3,Idk
558833051707113493,r/teenagers,movie-night,1,^
558833386421223424,r/teenagers,movie-night,27,Go to <#319283301334384640>
558835291146944521,r/teenagers,movie-night,37,How do u make the bottom part go away
558836596678328332,r/teenagers,movie-night,29,I’ve only seen It and Birdbox
558839967200051200,r/teenagers,movie-night,0,
558840038306086923,r/teenagers,movie-night,33,that’s the thing that was meowing
558840156220686346,r/teenagers,movie-night,12,your welcome
558841027532816415,r/teenagers,movie-night,0,
558844010530209803,r/teenagers,movie-night,19,It’s so quiet Jesus
558845881223348251,r/teenagers,movie-night,17,Do u have Netflix
558846031576694784,r/teenagers,movie-night,34,Well it’s on there we at at 17 min
558846101566783488,r/teenagers,movie-night,36,If u don’t have access to a computer
558846272061308939,r/teenagers,movie-night,3,Yee
558846905925369856,r/teenagers,movie-night,4,ikkk
558847767905304577,r/teenagers,movie-night,17,Do u have Netflix
558847842505195530,r/teenagers,movie-night,34,It’s on there we are at 25 minutes
558848152560599071,r/teenagers,movie-night,3,yee
558852714197549076,r/teenagers,movie-night,42,I had to switch to my phone for it to work
558852932062281729,r/teenagers,movie-night,2,ah
558853002165747712,r/teenagers,movie-night,2,AH
558853275202617364,r/teenagers,movie-night,2,Ni
558854973522182173,r/teenagers,movie-night,4,nope
558857499919515678,r/teenagers,movie-night,0,
558857578633756692,r/teenagers,movie-night,21,Those were my fingers
558859470437089291,r/teenagers,movie-night,67,I’m not like other girls I like Billie eilish and Rex Orange County
558859551760449548,r/teenagers,movie-night,57,I have a unique taste in music and that’s all I listen to
558859785160884234,r/teenagers,movie-night,33,I’m leaving I’m tired by everyone
