ID,Channel,Content Length,Content
558450959601106975,fortnite-general,57,Does anyone know why they put switch players with mobile?
558451178967400449,fortnite-general,44,Why are switch players put on mobile servers
558451334542786562,fortnite-general,3,Tb?
558451426171289600,fortnite-general,10,What is tb
558451595659051019,fortnite-general,32,<@464545219627581442> what is tb
558451732653277194,fortnite-general,5,Ah ok
558451944239267850,fortnite-general,37,I’ve got an edited video you can edit
558452203342528514,fortnite-general,2,No
558452743132676118,fortnite-general,52,Ozzy Ice pop pickaxe isn’t rly that good I bought it
558452912809050122,lfg-battleroyale-mobile,47,Why do switch players play with mobile players?
558453586883903489,fortnite-general,2,Ok
