ID,Server,Channel,Content Length,Content
558473962158293025,MINECRAFT,minecraft,2,Hi
558473987483500570,MINECRAFT,minecraft,2,Hi
558474024863399976,MINECRAFT,minecraft,19,Can I be banned pls
558474051606151178,MINECRAFT,minecraft,1,I
558474077098999833,MINECRAFT,minecraft,3,Beg
558474102814277658,MINECRAFT,minecraft,1,U
558474128932339722,MINECRAFT,minecraft,3,Aww
558474156635586571,MINECRAFT,minecraft,16,I wanna be banrd
558474265024790578,MINECRAFT,minecraft,9,@everyone
558474305197965342,MINECRAFT,minecraft,11,Gary mother
558474331924070427,MINECRAFT,minecraft,3,Gay
558474393852837904,MINECRAFT,minecraft,10,Ur mum gae
558474429043048459,MINECRAFT,minecraft,10,Ur mum gay
558474474115170304,MINECRAFT,minecraft,17,Ur mum is ga eeee
