ID,Content Length,Content
558428743488765972,42,should ban heart for having an alt in here
558428747578081281,5,right
558429714059100192,4,kira
558429722279673876,13,heart is here
558429727237341189,5,do it
558429740873154561,10,thanos him
558429761584627712,15,for the nuggets
558438781917855755,54,<@!100300656132231168> thanos his harem for one nugget
558438808131993611,16,kira didnt do it
558438846493229059,27,<:Angry:371787350336077824>
558441167771926550,3,Kat
558441175401627660,29,<:POGGERS:432309837997670421>
558441195072651276,30,<@!73193539491598336> thats me
558441204434468874,10,on a smurf
558441239285071873,3,wtf
558441263624486942,20,I just 1v4'd ur team
558441280917602314,18,dont call me trash
