ID,Channel,Content Length,Content
558787026992758786,buffet-line,13,WHAT HAPPENED
558787520528121857,buffet-line,16,WHAT DO YOU MEAN
558787649809416193,buffet-line,41,I'M SCARED AM I GONNA GO BUDDY HOLLY MODE
558788185782616095,buffet-line,18,PRAY FOR END TIMES
558788214081716254,buffet-line,6,- JOES
558788654902804491,buffet-line,34,NO U CHILDREN DON'T WATCH SAMPSONS
558788865402601483,buffet-line,34,MAY THE POWER OF CHRIST COMPEL YOU
558789581961691161,buffet-line,52,WANDA IS WITH THE LORD NOW Sent from my Moto G phone
558789655034855464,buffet-line,13,SHUT UP SATAN
558789708788924416,buffet-line,13,THANK YOU GOD
558789995729518603,buffet-line,25,NO U DUMY THAT'S SCOTTISH
558791717747425281,buffet-line,14,THIS IS BAD...
558803721358802944,buffet-line,8,I ATE IT
559035418268401664,buffet-line,5,HELLO
560647509274263552,buffet-line,18,TYPE IN CAPS MORON
560647735083270154,buffet-line,58,OKAY THANKS FOR THE CAPS I WOULD'VE GONE ELVIS MODE ON YOU
560648108074205200,buffet-line,17,ORDER ~PORN~ CORN
560648257387233280,buffet-line,59,I WAS A GROUPIE OF THEODORE TROPPLEBONE WHEN I WAS YOUR AGE
560648344880283660,buffet-line,27,I WAS A MALE GROUPIE XOXOXO
560648637647028245,buffet-line,38,NO WE ARE ALL GOING HANK WILLIAMS MODE
560648684791005199,buffet-line,15,SHUT UP GRANDPA
560648716953059338,buffet-line,10,AHHH ANIME
560648781607993364,buffet-line,30,ANIME IS THE WORK OF THE DEVIL
560649122357575876,buffet-line,54,TEN DIEGO? MORE LIKE CARMEN SANDEIGO HAHAHAHAHAHAHHAHA
