ID,Server,Channel,Content Length,Content
559007979232559116,FlareTV - PewDiePie vs T-Series,general,4,yeet
559008233155461120,FlareTV - PewDiePie vs T-Series,general,10,*real art*
559008336775741440,FlareTV - PewDiePie vs T-Series,general,43,<@339845222181896193> omg is that ur pupper
559008493009633280,FlareTV - PewDiePie vs T-Series,general,40,<@!510529441361952769> is he unemployed?
559008573938466827,FlareTV - PewDiePie vs T-Series,general,54,<@!510529441361952769> you said your cat isn't working
559008698601570305,FlareTV - PewDiePie vs T-Series,general,28,<@!480314730402152448> *hug*
559008722072895488,FlareTV - PewDiePie vs T-Series,general,29,<@!510529441361952769> *Yes.*
559008807980630016,FlareTV - PewDiePie vs T-Series,general,52,<@339845222181896193> seqwsqsqdqweq omg such a cutie
559009118124507157,FlareTV - PewDiePie vs T-Series,general,9,I do care
559009131650875412,FlareTV - PewDiePie vs T-Series,general,18,I care about y'all
559009286588596255,FlareTV - PewDiePie vs T-Series,general,76,<@390924141697564675> *i'm glad someone noticed.* <:kana:553637816136105985>
559009402640924673,FlareTV - PewDiePie vs T-Series,general,53,<@390924141697564675> <:PepeHeart:514640977793646594>
559009513945038889,FlareTV - PewDiePie vs T-Series,general,43,<@!478791798345433088> GAULLIN - MOONLIGHT?
559009527169679361,FlareTV - PewDiePie vs T-Series,general,8,:thenrk:
559009823157387265,FlareTV - PewDiePie vs T-Series,general,47,*Creeps up on <@!433157752890851328> and hugs.*
559009927788494879,FlareTV - PewDiePie vs T-Series,general,32,<@!478791798345433088> excuse me
559010005664268298,FlareTV - PewDiePie vs T-Series,general,27,*drinks poisoned tea.* yeet
559010214314115102,FlareTV - PewDiePie vs T-Series,general,77,<@!478791798345433088> *it tastes like cyanide and ricin_ it's a nice touch.*
559010347940446219,FlareTV - PewDiePie vs T-Series,general,8,TOld me?
559010455897636900,FlareTV - PewDiePie vs T-Series,general,48,<@390924141697564675> <:kana:553637816136105985>
559010590434131968,FlareTV - PewDiePie vs T-Series,general,20,bart is a hottie yes
559010701109362709,FlareTV - PewDiePie vs T-Series,general,3,Oof
559010804729643026,FlareTV - PewDiePie vs T-Series,general,91,<@339845222181896193> it is bardiel_ from the video i showed you <:kana:553637816136105985>
559010934304145419,FlareTV - PewDiePie vs T-Series,general,25,<@259591352541642753> Me.
559011244468862986,FlareTV - PewDiePie vs T-Series,general,64,<@339845222181896193> *hug* <@!449951831720853523> to late binch
559011336751677497,FlareTV - PewDiePie vs T-Series,general,28,<:SadCat:519226311273611289>
559011346415353857,FlareTV - PewDiePie vs T-Series,general,10,i am sorry
559011382008217607,FlareTV - PewDiePie vs T-Series,general,30,<:CattoCry:519229260372901913>
559011544651005952,FlareTV - PewDiePie vs T-Series,general,32,<@!449951831720853523> ur hot af
559011582294884352,FlareTV - PewDiePie vs T-Series,general,2,no
559011660820643850,FlareTV - PewDiePie vs T-Series,general,64,https://tenor.com/view/cat-emo-lifeismeaningless-sad-gif-4621470
559011823098265623,FlareTV - PewDiePie vs T-Series,general,24,<@390924141697564675> no
559011907089203200,FlareTV - PewDiePie vs T-Series,general,5,april
559012104598716426,FlareTV - PewDiePie vs T-Series,general,25,<@390924141697564675> no.
559012422057459767,FlareTV - PewDiePie vs T-Series,general,105,<@390924141697564675> No. <:SadCat:519226311273611289> You're to precious. <:CattoCry:519229260372901913>
559012609685454848,FlareTV - PewDiePie vs T-Series,general,51,<@!433157752890851328> *You are the most precious.*
559012850819923979,FlareTV - PewDiePie vs T-Series,general,50,<@339845222181896193> <:SadCat:519226311273611289>
559013031452082186,FlareTV - PewDiePie vs T-Series,general,68,<@339845222181896193> you made sad cat. <:SadCat:519226311273611289>
559013070630944788,FlareTV - PewDiePie vs T-Series,general,43,<@!433157752890851328> *I will defend you.*
559013164432228352,FlareTV - PewDiePie vs T-Series,general,103,<@339845222181896193> *no i made you sad therefore i must be the sad one.* <:SadCat:519226311273611289>
559032847403450388,FlareTV - PewDiePie vs T-Series,general,3,yes
559033578596597761,FlareTV - PewDiePie vs T-Series,general,4,yeet
559034508565938221,FlareTV - PewDiePie vs T-Series,general,13,I did too tbh
559034577859903488,FlareTV - PewDiePie vs T-Series,general,40,Bart will always be powerful in my eyes.
559035976383725570,FlareTV - PewDiePie vs T-Series,general,31,<:PepeHeart:514640977793646594>
559036086215507970,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,20,i'm watching y'all 👀
559036149914533888,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,13,'watch music'
559036152930238494,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,3,yes
559037707771314179,FlareTV - PewDiePie vs T-Series,general,26,?ban <@450733074838454272>
559038238594039819,FlareTV - PewDiePie vs T-Series,general,24,<@!449951831720853523> k
559038246491783212,FlareTV - PewDiePie vs T-Series,general,26,<:kana:553637816136105985>
559038293820440576,FlareTV - PewDiePie vs T-Series,general,31,router is gonna be reset_ 1 sec
559039675126513674,FlareTV - PewDiePie vs T-Series,general,9,i am back
559039764200816640,FlareTV - PewDiePie vs T-Series,general,54,goddamn now i want nitro. <:SadCat:519226311273611289>
559039822824472577,FlareTV - PewDiePie vs T-Series,general,8,ik but..
559039839559745569,FlareTV - PewDiePie vs T-Series,general,8,it's fun
559039871147311114,FlareTV - PewDiePie vs T-Series,general,4,yeah
559040480516505602,FlareTV - PewDiePie vs T-Series,general,25,I'd assume he meant Ninja
559040580269899807,FlareTV - PewDiePie vs T-Series,general,62,<@505020427266031637> Do that in <#513855508520894484> please.
