ID,Content Length,Content
558830037231468565,109,they should have the lamas run around and they could stay still and when you shoot at them they will run away
558830201275154444,25,the SUN is a star retared
558830338789605404,61,<@267086653372235776>  your a retard its a mother F***** star
558830463448514604,19,Its a fricking star
558830900981399555,42,are we alowed to just DM a super moderator
558831195689844746,26,I want to requst a/an Idea
558831672196595732,28,thanks <@182166841689374720>
558831971372105739,48,<@182166841689374720>  how do we give sugestions
558832178335711242,2,ok
558832670394679327,12,Im In a clan
558832771926196225,19,ligma memes be dead
