ID,Content Length,Content
558783540444135424,26,@Andrew of the Meads wtfff
558783751044333603,5,!stop
558783856342335498,4,Lmao
558783946675191818,4,Same
558783992883707945,3,:))
558784469427945500,5,Right
558784675490037762,3,Pew
558785140617248788,4,Lmao
558785481307848705,6,Omg no
558785753652658187,36,<@422215028691959838> noo is horible
558785920594345994,1,😂
558786261314174996,7,Shut up
558786570732175394,21,I live in romania wtf
558786825859366914,5,!stop
558787841912471552,40,I want to talk but in my countru is 01:0
558787878990250010,7,Country
558788017704140820,14,I eat air lmao
558788168791490580,10,Vegan sryy
558794182857195522,4,Boom
558794217044967433,4,Uhhh
558794952184692767,27,<@486951238160875521> right
558795445522923530,3,Yuk
558796402000658433,5,Omg..
558798058654269452,4,!sto
558798086307053587,5,!stop
558798137918226442,13,Eudjydbwiwgsj
558798735279259648,9,Idjeydux5
558800134654132225,46,<@351410575571419136> what wrong whit ur name?
558800345149603855,11,Omg i m bad
559075247299624971,5,Right
