ID,Channel,Content Length,Content
560977504408567808,fortnite-general,54,I’m finna get the laguna pack and the magma wrap later
560977735833616388,fortnite-general,61,<@!403659935516196865> cause that’s for <#325741139988709377>
560977809770807308,fortnite-general,9,^ I agree
560978848829669379,fortnite-general,6,Agreed
560979064282808330,fortnite-general,32,<@459438294762258442> your code?
560979150882471947,fortnite-general,4,O no
560979287717707794,fortnite-general,9,What even
560979480693440533,fortnite-general,19,Can y’all not fight
560979591611547668,fortnite-general,15,Thank you buddy
560979726219608084,fortnite-general,51,He said in a derogatory manor <@449972900619878401>
560979828921335819,fortnite-general,31,<@!277657160350040066> stop bud
560980132941004813,fortnite-general,25,<@403820405208514561> ikr
