ID,Server,Channel,Content Length,Content
558444724827062302,Official Fortnite,fortnite-general,141,does anyone know how to get lifetime refunds cause i got 0 im planning to refund my glider and batsickle for the true heart and electro swing
558448887761993748,Official Fortnite,fortnite-general,80,so sad i got 300 v bucks i might farm 800 v bucks on stw again to buy true heart
558827498297884683,Official Fortnite,off-topic,8,hey guys
558827547509522452,Official Fortnite,off-topic,24,i found a box jelly fish
558827632683122693,Official Fortnite,off-topic,60,what will happen if i touch the sting of this box jellyfish?
558827741512990770,Official Fortnite,off-topic,49,is this poisonous cause i caught 10 box jellyfish
558827901546528791,Official Fortnite,off-topic,68,idk i just set up a trap for the fish but it caught 10 box jellyfish
558828052193476618,Official Fortnite,off-topic,26,i put them on my fish tank
558828166052053003,Official Fortnite,off-topic,119,im planning to call animal control to get rid of this box jellyfish cause the water here is infested with box jellyfish
558828407731781649,Official Fortnite,off-topic,37,im wearing a protective leather glove
558828515923984407,Official Fortnite,off-topic,30,im not gonna touch their sting
558828835320233984,Official Fortnite,off-topic,24,i don't have a phone lol
558829199507587085,Official Fortnite,off-topic,46,i went to the river i like 30-70 box jellyfish
558829441959329812,Official Fortnite,off-topic,50,how many seconds for the box jellyfish to kill me?
558829861754634260,Official Fortnite,off-topic,35,the boxjelly fish i caught was 15cm
558831064978685952,Official Fortnite,off-topic,38,<@487793209863307275> philippines asia
558831196268789762,Official Fortnite,off-topic,27,what jellyfish on australia
558831250165465098,Official Fortnite,off-topic,27,cause ours is box jellyfish
558831375042740251,Official Fortnite,off-topic,33,wait there's 3 type of jellyfish?
558831662998355978,Official Fortnite,off-topic,11,what's that
