ID,Channel,Content Length,Content
558462612283850753,games,8,Prove it
558462845042556949,games,18,That it's too good
558462890185850910,games,22,I just wanna see it...
558463088467247104,games,19,Alright I'm jealous
558784435219070976,games,20,I hated Dark Souls 1
558784501422227485,games,33,I think 3 is the best as an intro
558784759636164619,games,70,Yeah I don't think you should play these games if you're not into them
558784797925703702,games,62,And I guess I just picked 3 up easily_ 1 was super hard for me
558784895443533854,games,35,Yeah_ I gave up pretty quick though
558784995343204362,games,49,I don't think I made it more than halfway through
558785466007027744,games,20,Maybe I'm just weird
558785479927922708,games,9,¯\_(ツ)_/¯
558831632199450632,general,15,uhhh mcdonald's
558836208227188738,games,6,uh huh
558843967882395668,general,3,yut
559110072354078745,games,46,Does anybody know if there are bugs in sekiro?
