ID,Server,Channel,Content Length,Content
558805931111088139,r/teenagers,general,4,guys
558805963608555541,r/teenagers,general,29,My permit expired 12 days ago
558805984286474245,r/teenagers,general,32,and im having driving withdrawls
558806128872652800,r/teenagers,general,7,guys no
558806156156600332,r/teenagers,general,35,I WANT T O DRIVE O TACO BELL AT 2AM
558806168869535744,r/teenagers,general,24,AND MY PERMIT IS EXPIRED
558806209130397696,r/teenagers,general,75,https://tenor.com/view/moto-madagascar-sexy-eyes-how-you-doing-gif-13627359
558806283621236739,r/teenagers,general,4,dude
558806292148256778,r/teenagers,general,18,its on the highway
558806298771193857,r/teenagers,general,4,plus
558806308179017739,r/teenagers,general,16,Its 3 miles away
558806381835321356,r/teenagers,general,36,**cries in taco bell cravings deal**
558806506326458384,r/teenagers,general,4,well
558806547547815956,r/teenagers,general,32,the DMV is closed until 04/08/19
558806559010848771,r/teenagers,general,13,so im screwed
558806583753310211,r/teenagers,general,9,No permit
558806609568989214,r/teenagers,general,16,at all right now
558806638073741312,r/teenagers,general,27,**cries in expired permit**
558806692532584468,r/teenagers,general,4,WAIT
558806710387474432,r/teenagers,general,30,Can i use my fake IDs to drive
558806754436317184,r/teenagers,general,58,<@!340654514367496194>  i have had my permit since 14 lmao
558806772287275018,r/teenagers,general,27,I have had my permit a year
558806775613227037,r/teenagers,general,4,LMAO
558806808685182987,r/teenagers,general,20,Kentucky Farm Permit
558806810899906580,r/teenagers,general,4,gnag
558806886355304448,r/teenagers,general,43,https://www.youtube.com/watch?v=hE2Ira-Cwxo
558806932148846614,r/teenagers,general,54,this makes me think im watching a iPhone XR commerical
558829549580713990,r/teenagers,general,51,<@!79259622338199552>  we in every disocrd together
558829552336502785,r/teenagers,general,4,lmao
558829643504025601,r/teenagers,general,4,lmao
558829755114192908,r/teenagers,general,25,everyone drops everything
558829764958224395,r/teenagers,general,13,in the server
558829776308273162,r/teenagers,general,33,<:LinusAkward:558126431146868737>
558829788010119169,r/teenagers,general,22,I made this emote lmao
558829817852854273,r/teenagers,general,0,
558829838689894410,r/teenagers,general,29,This is the emote i made lmao
558829889579384838,r/teenagers,general,0,
558829904620290063,r/teenagers,general,11,dont try me
558829907476742146,r/teenagers,general,4,lmao
558829986010890268,r/teenagers,general,0,
558830053627002880,r/teenagers,general,0,
558830273463189555,r/teenagers,general,64,https://tenor.com/view/pizza-snooki-ilove-you-pizza-gif-11904013
558830289711923200,r/teenagers,general,15,me no need love
558830300533227531,r/teenagers,general,13,me need pizaa
558838632862056448,r/teenagers,general,14,I swear to god
558838650721533963,r/teenagers,general,18,some people idiots
