ID,Server,Channel,Content Length,Content
558427423046107167,r/teengamingnights,general,39,"I didn't know killing him was illegal"
558427547201962014,r/teengamingnights,general,57,rc_ you aren't getting unbanned because you "didn't know"
558427574481584144,r/teengamingnights,general,26,all you can do is be sorry
558427842812051503,r/teengamingnights,general,142,riley_ everyone talks about it in chat and if you have one and you know it's a weapon in the nether and the end you probably know it goes boom
558428132747771904,r/teengamingnights,general,64,because this server is stupid and locked blocks make it not boom
558428154897891335,r/teengamingnights,general,37,still doesn't make what you did right
558428235164024877,r/teengamingnights,general,31,because theo unlocked his stuff
558428251530461184,r/teengamingnights,general,25,so people will get banned
558428273110024212,r/teengamingnights,general,8,like you
558788590436352000,r/teengamingnights,general,12,wat version?
558788708162076683,r/teengamingnights,general,30,I have my 1.8.9 minecraft open
558788736629080074,r/teengamingnights,general,6,but it
558788758665953280,r/teengamingnights,general,21,it's not showing life
558808701553737758,r/teengamingnights,general,4,MAKE
558808736462929971,r/teengamingnights,general,6,EUROPA
558809232569532417,r/teengamingnights,general,12,i know right
558809248075743268,r/teengamingnights,general,16,I'm already dead
558809269688991775,r/teengamingnights,general,13,this is beuty
558809306833747980,r/teengamingnights,general,2,^^
558809347409313794,r/teengamingnights,general,36,1v1 me bop_ I've wear shorter skirts
558809498098335747,r/teengamingnights,general,7,yes dad
558809907638435841,r/teengamingnights,general,37,I was reading this in geography class
558810477270925322,r/teengamingnights,general,1,😆
558811190302867476,r/teengamingnights,general,119,honestly though idk if it takes a while for him to write those chapters but I'd pay diamonds for him to make more lmfao
558811244790808576,r/teengamingnights,general,18,we can sponsor him
558811282963300373,r/teengamingnights,general,36,each donate a diamond to support him
558811928626069505,r/teengamingnights,general,78,<@530217398721052705> I know he said that but I want more then one chapter lol
558814384705634321,r/teengamingnights,general,2,no
558814400820150306,r/teengamingnights,general,24,<@292481089237286912> NO
558814410857250817,r/teengamingnights,general,5,DON'T
558814446689189888,r/teengamingnights,general,2,NO
558814465814953994,r/teengamingnights,general,20,YOU'VE DOOMED US ALL
558814478200995840,r/teengamingnights,general,13,HOW could you
558814788281434118,r/teengamingnights,general,2,nO
558814816270286848,r/teengamingnights,general,18,nEVEr loG oN aGAIN
558815037259513856,r/teengamingnights,general,2,no
558815043597238273,r/teengamingnights,general,2,NO
558815064023629825,r/teengamingnights,general,21,<@331651627368972290>
558815097603096582,r/teengamingnights,general,15,GO BACK IN TIME
558815393486209025,r/teengamingnights,general,3,GOO
558815397219139595,r/teengamingnights,general,1,D
558815415967678494,r/teengamingnights,general,16,KEEP IT THAT WAY
558836036910841887,r/teengamingnights,general,35,have y'all played WynnCraft before?
558836257774370846,r/teengamingnights,general,27,they got a crazy new update
558836297154953216,r/teengamingnights,general,29,I gotta figure it out tho now
558836380680060938,r/teengamingnights,general,19,a minecraft mmo rpg
558836850505154562,r/teengamingnights,general,64,if it's anything close to what wynn craft is civ will be amazing
558837927153500170,r/teengamingnights,general,16,!!p 23 freestyle
